accession,name,description,Parent study,Study Disease/Focus,Study Design,Study Markerset,Study Molecular Data Type,Study Content,Ancestry (computed),NIH Institute,Study Consent,Release Date,Embargo Release Date,Related Terms
"phs002775.v1.p1","Rapid Acceleration of Diagnostics - Underserved Populations (RADx-UP):    Developing a Realtime Monitoring System and Program to Improve    COVID-19 Testing for Latinx Populations","Nationally, Latinx individuals have four times the rate of SARS-CoV-2 diagnoses, compared to Non-Hispanic Whites. Furthermore, Latinx populations may face barriers in accessing SARS-CoV-2 tests, receiving test results, interpreting test  ;). This RADx-UP project will utilize a unique approach and infrastructure to monitor SARS-CoV-2 testing rates, including the use of the statewide Health","Not Applicable","COVID-19","Collection","Not Provided","Not Provided","","","OD","GRU --- General research use","2022-12-02","",""
"phs002800.v1.p1","Rapid Acceleration of Diagnostics - Underserved Populations (RADx-UP):    Testing for COVID-19 in High Risk Children with Intellectual and    Developmental Disabilities (COV-IDD)","1. Virological Testing: We will establish a nasal-swab FDA-approved testing regimen to monitor and identify disease outbreaks in a specialized school setting serving 450 children with moderate-to-severe intellectual and developmental   approaches proposed, and is readily compatible with extension to other sites in the RADx network. Note for data in RADx: Instructions for requesting individual","Not Applicable","COVID-19","Case Set","Not Provided","Not Provided","","","OD","GRU --- General research use","2022-12-02","",""
"phs002807.v1.p1","Rapid Acceleration of Diagnostics - Underserved Populations (RADx-UP):    Monitoring COVID-19 and Building Capacity with Northern Plains Tribes    and the Future of Pandemics","Monitoring COVID-19 and Building Capacity with Northern Plains Tribes and the Future of Pandemics will upgrade and sustain local capacity at the Native BioData Consortium (NBDC), an Indigenous-led research group,   mitigate future threats. Note for data in RADx: Instructions for requesting individual-level data are available on RADx Data Hub at https://radx-hub.nih.gov","Not Applicable","COVID-19","Case Set","Not Provided","Not Provided","","","OD","GRU --- General research use","2022-12-02","",""
"phs002869.v1.p1","Rapid Acceleration of Diagnostics - Underserved Populations (RADx-UP):    COVID-19 Testing in Underserved and Vulnerable Populations Receiving    Care in San Diego Community Health","Pronounced inequities and disparities in coronavirus disease COVID-19 morbidity and mortality have been reported, largely due to comorbid conditions and social determinants of health. Approximately 95% of COVID-19 related deaths  -up of COVID-19 testing sustainability and vaccination. Our community-engaged project includes underserved (socioeconomically disadvantaged and large","Not Applicable","COVID-19","Clinical Trial","Not Provided","Not Provided","","","OD","GRU --- General research use","2022-12-02","",""
"phs003056.v1.p1","Rapid Acceleration of Diagnostics - Underserved Populations (RADx-UP):    Social, Ethical, and Behavioral Factors in the Return to School Among    Underserved Communities in Maryland","The goal is of this study is to use surveys to characterize social, ethical, and behavioral factors associated with parents of K-8 students, their willingness to return their children to   underserved school systems in Maryland. Note for data in RADx: Instructions for requesting individual-level data are available on RADx Data Hub at https://radx","Not Applicable","COVID-19","Case Set","Not Provided","Not Provided","","","OD","GRU-NPU --- General research use (npu)","2022-12-02","",""
"phs002582.v1.p1","Rapid Acceleration of Diagnostics - Underserved Populations (RADx-UP):    Understanding the COVID-19, Racism, and Violence Syndemic and its    Effects on COVID-19 Testing Disparities","Black communities in the US are experiencing three converging public health crises: COVID-19, systemic racism, and community and police violence. Black Americans are significantly less likely to receive a needed   testing and address this emerging syndemic. Note for data in RADx: Instructions for requesting individual-level data are available on RADx Data Hub at https","Not Applicable","COVID-19","Collection","Not Provided","Not Provided","","","OD","GRU --- General research use","2022-12-02","",""
"phs002661.v1.p1","Rapid Acceleration of Diagnostics - Underserved Populations (RADx-UP):    Back to ECE Safely with SAGE: Reducing COVID-19 Transmission in    Hispanic and Low-Income Preschoolers","The overarching goal of this study is to determine the acceptability, feasibility, efficacy, and scalability of back-to-early childhood education (ECE) testing in young children (3-5 years). We will also determine   for data in RADx: Instructions for requesting individual-level data are available on RADx Data Hub at https://radx-hub.nih.gov/home. Apply for data","Not Applicable","COVID-19","Prospective Longitudinal Cohort","Not Provided","Not Provided","","","OD","GRU --- General research use","2022-12-02","",""
"phs002568.v1.p1","Rapid Acceleration of Diagnostics - Underserved Populations (RADx-UP):    Reaching Communities through the Design of Information Visualizations    (ReDIVis) Toolbox for Return of COVID-19 Results (RCR)","The overall goal of Reaching Communities through the Design of Information Visualizations (ReDIVis) Toolbox for Return of COVID-19 Results (RCR) is to decrease health disparities related to COVID-19 by enabling   wearing, and vaccination, when available). Moreover, we will interact with other RADx-UP grantees to enhance the generalizability of the ReDIVis Toolbox","Not Applicable","COVID-19","Case Set","Not Provided","Not Provided","","","OD","GRU --- General research use","2022-12-02","",""
"phs002906.v1.p1","Rapid Acceleration of Diagnostics - Underserved Populations (RADx-UP): A    Nurse-Community Health Worker-Family Partnership Model: Addressing    Uptake of COVID-19 Testing and Control Measures","New York City (NYC) is a global epicenter of the SARS-CoV2/COVID-19 pandemic, with 222,000 cases and more than 25,000 deaths. Neighborhood-level disparities in cases and deaths in NYC can be   settings of vulnerability and disadvantage. Note for data in RADx: Instructions for requesting individual-level data are available on RADx Data Hub at https","Not Applicable","COVID-19","Case-Control","Not Provided","Not Provided","","","OD","GRU --- General research use","2022-12-02","",""
"phs003083.v1.p1","Rapid Acceleration of Diagnostics - Underserved Populations (RADx-UP):    SARS-COV-2 Screening in Dialysis Facilities: Building an Optimal    Strategy to Protect a High Risk Population","We plan to offer SARS-CoV-2 screening tests at selected dialysis facilities in order to reduce transmission and detect early cases to prevent serious illness among patients receiving dialysis. Patients receiving   county COVID-19 spread (Aim 2). After a pilot in four facilities, we plan to scale up the study to 62 dialysis facilities within US Renal Care. After a 3","Not Applicable","COVID-19","Case Set","Not Provided","Not Provided","","","OD","GRU --- General research use","2022-12-02","",""
"phs003125.v1.p1","Rapid Acceleration of Diagnostics - Underserved Populations (RADx-UP):    Engaging Church Health Ministries to Decrease SARS-CoV-2 Vaccine    Hesitancy in Underserved Populations in Baton Rouge","In the US, COVID-19 unveiled a disproportionate health burden in low income and underserved segments of society. In Louisiana, some of the greatest health and economic consequences are evident in  , underserved populations across the American South. Note for data in RADx: Instructions for requesting individual-level data are available on RADx Data Hub at","Not Applicable","COVID-19","Case Set","Not Provided","Not Provided","","","OD","GRU --- General research use","2022-11-21","",""
"phs002658.v1.p1","Rapid Acceleration of Diagnostics - Underserved Populations (RADx-UP):    LITE CONNECT: Addressing Testing Gaps and Epidemiologic Disparities of    COVID-19 Among Transgender People in the United States","Transgender (TG) people are an NIH-designated health disparities population with high morbidity and mortality across multiple health conditions, including HIV infection, mental health, and substance use. These conditions are a   1,500 TG women in the Eastern and Southern U.S. to assess HIV risk across 24 months of biobehavioral follow-up using technology-enhanced, digital methods","Not Applicable","COVID-19","Case Set","Not Provided","Not Provided","","","OD","GRU --- General research use","2022-12-02","",""
"phs002708.v1.p1","Rapid Acceleration of Diagnostics - Underserved Populations (RADx-UP):    Community-Driven Optimization of COVID-19 Testing to Reach and Engage    Underserved Areas for Testing Equity (CO-CREATE)","UC San Diego's Superfund Research Center (SRC), supported by the NIEHS Superfund Research Program since 2000, is engaged in research and Public Health initiatives that examine the cumulative impacts of   morbidity and mortality from COVID-19. Note for data in RADx: Instructions for requesting individual-level data are available on RADx Data Hub at https://radx","Not Applicable","COVID-19","Case Set","Not Provided","Not Provided","","","OD","GRU --- General research use","2022-12-02","",""
"phs002741.v1.p1","Rapid Acceleration of Diagnostics - Underserved Populations (RADx-UP):    Community-Engaged Research to Improve the COVID-19 Testing Cascade    Among Underserved Populations in the US Caribbean Territories","SARS-CoV-2, the virus that causes COVID-19, has ravaged underserved and vulnerable populations in the U.S., including in the U.S. territories of Puerto Rico (PR) and the U.S. Virgin Islands (USVI).   research is to, in concert with the RADx-UP Consortium, understand factors that have led to disproportionate disease burden and deploy interventions that","Not Applicable","COVID-19","Interventional","Not Provided","Not Provided","","","OD","GRU --- General research use","2022-12-02","",""
"phs002742.v1.p1","Rapid Acceleration of Diagnostics - Underserved Populations (RADx-UP):    Puipuia le Ola: Increasing Reach and Uptake of COVID-19 Testing Among    Pacific Islanders in Hawaii and Guam","Non-Native Hawaiian Pacific Islanders (PI), defined as indigenous people having origins in Guam, the Commonwealth of the Northern Mariana Islands, American Samoa, Federated States of Micronesia, Republic of the Marshall   this RADx-UP Community-Engagement Testing Research Project. Note for data in RADx: Instructions for requesting individual-level data are available on","Not Applicable","COVID-19","Interventional","Not Provided","Not Provided","","","OD","GRU --- General research use","2022-12-02","",""
"phs002875.v1.p1","Rapid Acceleration of Diagnostics - Underserved Populations (RADx-UP):    Assessing Vaccine Hesitancy and a Pharmacist Led Intervention Model to    Increase COVID-19 Vaccine Uptake Among African Americans","The investigators at Xavier University of Louisiana are utilizing a multicenter approach including a clinic, health care institution, and community survey-based research project to assess the beliefs and behaviors regarding  . African Americans make up over 50% of the deaths of all known COVID-19 patients in the state, while only representing about 32% of the population. With the","Not Applicable","COVID-19","Case Set","Not Provided","Not Provided","","","OD","GRU --- General research use","2022-12-02","",""
"phs002947.v1.p1","Rapid Acceleration of Diagnostics - Underserved Populations (RADx-UP):    Supporting the Health and Well-Being of Children with Intellectual and    Developmental Disability During the COVID-19 Pandemic","Not only are children with intellectual and developmental disabilities (IDD) at dramatically higher risk of becoming infected with Severe Acute Respiratory Syndrome Coronavirus-2 (SARS-CoV-2) and death from COVID-19, they are   in RADx: Instructions for requesting individual-level data are available on RADx Data Hub at https://radx-hub.nih.gov/home. Apply for data access in","Not Applicable","COVID-19","Case Set","Not Provided","Not Provided","","","OD","GRU --- General research use","2022-12-02","",""
"phs002948.v1.p1","Rapid Acceleration of Diagnostics - Underserved Populations (RADx-UP):    Motivational Enhancement to Augment Contingency Management for    SARS-CoV-2 Testing and Vaccination Utilization Among Syringe Exchange    Clients","People who inject drugs (PWIDs) are highly vulnerable to contracting SARS-CoV-2 and to the effects of the disease caused by SARS-CoV-2, coronavirus disease 2019 (COVID-19). PWIDs experience underlying medical conditions  . Note for data in RADx: Instructions for requesting individual-level data are available on RADx Data Hub at https://radx-hub.nih.gov/home. Apply for data","Not Applicable","COVID-19","Case-Control","Not Provided","Not Provided","","","OD","GRU --- General research use","2022-12-02","",""
"phs003029.v1.p1","Rapid Acceleration of Diagnostics - Underserved Populations (RADx-UP):    Southeast Asians in the US: Health Equity and Research to Understand    COVID-19 Stories (SEA US, HEAR US)","Unlike other ethnic minority groups, data on the impacts of COVID-19 on Southeast Asian Americans (SEAAs) are limited and oftentimes aggregated with other Asian American groups, thus limiting targeted assistance  , comprehension, and potential refinement of the existing RADx-UP Common Data Elements (CDEs) and the Social Determinants of Health (SDOH), COVID-19 research","Not Applicable","COVID-19","Case Set","Not Provided","Not Provided","","","OD","GRU --- General research use","2022-12-02","",""
"phs002608.v1.p1","Rapid Acceleration of Diagnostics - Underserved Populations (RADx-UP):    Increasing Representation of Black Communities in SARS-CoV-2    Serosurveys by Understanding Barriers and Motivations for    Participation (Represent ATL)","Racial minorities have disproportionate risk for SARS-CoV-2 diagnoses and adverse outcomes including death. Burden of disease in Black populations is likely underestimated due to sub-optimal access to, and usage of,   U.S. and to inform both resource allocation and design and monitoring of prevention and control strategies. Note for data in RADx: Instructions for","Not Applicable","COVID-19","Collection","Not Provided","Not Provided","","","OD","GRU --- General research use","2022-12-02","",""
"phs002707.v1.p1","Rapid Acceleration of Diagnostics - Underserved Populations (RADx-UP):    Understanding Factors Influencing COVID-19 Testing and Vaccination in    Immigrant Low-Income and Homeless Populations and Testing Targeted    Interventions","Working with our community partners, we will create and evaluate the impact of a public health intervention in the area of Cumberland County, Maine to provide outreach, testing, and vaccination   populations, and to develop a strategy for a testing program; Aim 2b) To use the data from Aims 1 and 2a to develop, pilot test, and implement a walk-up, COVID","Not Applicable","COVID-19","Cross-Sectional","Not Provided","Not Provided","","","OD","GRU --- General research use","2022-12-02","",""
"phs002799.v1.p1","Rapid Acceleration of Diagnostics - Underserved Populations (RADx-UP):    Leveraging Social Networks to Increase COVID-19 Testing Uptake: A    Comparison of Credible Messenger and Chain Referral Recruitment    Approaches","Until the advent of treatment or a vaccine, our ability to contain COVID-19 must rely on widespread identification of (asymptomatic) positive cases, their subsequent quarantine, and contact tracing of those  . Note for data in RADx: Instructions for requesting individual-level data are available on RADx Data Hub at https://radx-hub.nih.gov/home. Apply for data","Not Applicable","COVID-19","Case Set","Not Provided","Not Provided","","","OD","GRU --- General research use","2022-12-02","",""
"phs002872.v1.p1","Rapid Acceleration of Diagnostics - Underserved Populations (RADx-UP):    Implementation Science Center in Cancer Control Equity: A Competitive    Revision to Accelerate COVID Testing in Vulnerable Communities -    Project 08","This competitive revision submitted to the RADx-UP Initiative (NOT-20-121) aims to extend the infrastructure of our P50 Implementation Science Center for Cancer Control Equity (ISCCCE) to accelerate COVID testing in   linguistically appropriate materials to support the testing activities. Note for data in RADx: Instructions for requesting individual-level data are available on","Not Applicable","COVID-19","Prospective Longitudinal Cohort","Not Provided","Not Provided","","","OD","GRU --- General research use","2022-12-02","",""
"phs002874.v1.p1","Rapid Acceleration of Diagnostics - Underserved Populations (RADx-UP):    COVID-19: Implementing Community-Based Approaches to Increase    SARS-CoV-2 Testing Among an Underserved and Vulnerable Hispanic    Population","Hispanics living in the United States have been negatively affected by the COVID-19 pandemic in a disproportionate manner, including significantly higher infection and hospitalization rates compared with non-Hispanic whites. The   deficiencies by providing SARS-CoV-2 testing information, navigation strategies to testing sites, and implementing local pop-up testing sites, and 2) provide","Not Applicable","COVID-19","Cross-Sectional","Not Provided","Not Provided","","","OD","GRU --- General research use","2022-12-02","",""
"phs002946.v1.p1","Rapid Acceleration of Diagnostics - Underserved Populations (RADx-UP):    Identifying and Addressing Critical Social, Ethical, and Behavioral    Factors Associated with COVID-19 Testing and Vaccination Among Spanish    Speakers","Latinx communities are disproportionately affected by the COVID-19 pandemic, with Spanish-speaking Latinx communities carrying even heavier burdens of infection, hospitalization, and mortality. Major barriers to COVID-19 testing and vaccination exist,   communities in the United States. Note for data in RADx: Instructions for requesting individual-level data are available on RADx Data Hub at https://radx","Not Applicable","COVID-19","Interventional","Not Provided","Not Provided","","","OD","GRU --- General research use","2022-12-02","",""
"phs002745.v1.p1","Rapid Acceleration of Diagnostics - Underserved Populations (RADx-UP):    Epidemiologic Intelligence Network (EpI-Net) to Promote COVID-19    Testing and Prevention Practices Among Socially Vulnerable Communities    in Puerto Rico","In Puerto Rico (PR), the first COVID-19 case was confirmed early March 2020. To date cases have exponentially increased partly due to the lifting of locked-down restriction by the PR   leaders trained as health promotors. Note for data in RADx: Instructions for requesting individual-level data are available on RADx Data Hub at https://radx","Not Applicable","COVID-19","Case Set","Not Provided","Not Provided","","","OD","GRU --- General research use","2022-12-02","",""
"phs002777.v1.p1","Rapid Acceleration of Diagnostics - Underserved Populations (RADx-UP):    Social, Ethical, and Behavioral Implications Research on COVID-19:    Testing and Vaccine Uptake Among Rural Latino Migrants in Southwest    Florida","Latinos in Florida account for over 30% of all COVID-19 cases and hospitalizations. Most Latinos live in rural areas, work as migrant farmworkers, and have higher rates of underlying medical   strategies to address social determinants of health (SDOH) that present barriers to participation in testing, testing follow-up and vaccine uptake to inform","Not Applicable","COVID-19","Cross-Sectional","Not Provided","Not Provided","","","OD","GRU --- General research use","2022-12-02","",""
"phs003123.v1.p1","Rapid Acceleration of Diagnostics - Underserved Populations (RADx-UP):    C2SPARC: Implementing Mobile, POC COVID-19 Testing in Partnership with    a Community-Based Organization to Reach Women Who Use Drugs","Through our RADx-UP Phase I ""CARE"" study, we are examining correlates of point-of-care COVID-19 testing (POCT) uptake at baseline and reuptake at a 3-month follow-up visit among WWUD (N 250)   CAB. C2SPARC is responsive to NOT-OD-21-103 in that it expands the RADx-UP Phase I study to build ""enhanced point-of-care infrastructures that can be","Not Applicable","COVID-19","Case Set","Not Provided","Not Provided","","","OD","GRU --- General research use","2022-11-21","",""
"phs002662.v1.p1","Rapid Acceleration of Diagnostics - Underserved Populations (RADx-UP):    Developing Novel Strategies to Increase COVID-19 Testing Among    Underserved and Vulnerable Populations in West Virginia through    Community and State Partnerships","West Virginia (WV) is rated by Becker's Hospital Review as the state with the sixth most vulnerable population to the novel coronavirus (SARS CoV-2) while a second group at Wallethub,   African Americans enrolled in the home testing study. Note for data in RADx: Instructions for requesting individual-level data are available on RADx Data","Not Applicable","COVID-19","Cross-Sectional","Not Provided","Not Provided","","","OD","GRU --- General research use","2022-12-02","",""
"phs002720.v1.p1","Rapid Acceleration of Diagnostics - Underserved Populations (RADx-UP):    Exploring Barriers and Facilitators to Women Who Use Drugs (WWUD)    Awareness, Acceptance and Uptake of COVID-19 Testing (The CARE Study)","In the U.S., women who use illicit drugs (WWUD) have disproportionately high rates of infectious (e.g., HIV, HCV), chronic, and pulmonary diseases that elevate their risk for COVID-19. Their health   community meetings to inform COVID-testing scale up. Note for data in RADx: Instructions for requesting individual-level data are available on RADx Data Hub","Not Applicable","COVID-19","Prospective Longitudinal Cohort","Not Provided","Not Provided","","","OD","GRU --- General research use","2022-12-02","",""
"phs003128.v1.p1","Rapid Acceleration of Diagnostics - Underserved Populations (RADx-UP):    Mobile Health-Targeted SARS-CoV-2 Testing and Community Interventions    to Maximize Migrant Children's School Attendance During the COVID-19    Pandemic","Prospective, mixed-methods cohort study of children who are eligible, enrolled, or who previously participated in the Nebraska Migrant Education Program (MEP) and their families who consent to enroll in an   household challenges surveys will prompt families to indicate their interest in receiving assistance from a community navigator. Follow-up qualitative","Not Applicable","COVID-19","Case Set","Not Provided","Not Provided","","","OD","GRU --- General research use","2022-11-21","",""
"phs002761.v1.p1","Rapid Acceleration of Diagnostics - Underserved Populations (RADx-UP):    Addressing COVID-19 Testing Disparities in Vulnerable Populations    Using a Community JITAI (Just in Time Adaptive Intervention)    Approach-A UTHealth CTSA Program","The novel coronavirus that causes COVID-19 has negatively impacted global health status and economies worldwide. In the USA, vulnerable populations experience significant disparities in terms of both infection and mortality   the funding by examining the aims in light of COVID-19 vaccine being available to our populations of interest. Note for data in RADx: Instructions for","Not Applicable","COVID-19","Cross-Sectional","Not Provided","Not Provided","","","OD","GRU --- General research use","2022-12-02","",""
"phs003057.v1.p1","Rapid Acceleration of Diagnostics - Underserved Populations (RADx-UP):    Evidence-based Interventions - Individual, Community, and Structural    Factors That Predict Lower Rates of Covid-19 Screening Testing in    Underserved and Vulnerable Populations","The purpose of this proposal is to identify individual, community (population) and structural factors associated with lower rates of Covid-19 testing in Northern New England (NNE), with a focus on   social vulnerability. We will then test approaches to reduce testing disparities using experimental and interventional data. Note for data in RADx","Not Applicable","COVID-19","Interventional","Not Provided","Not Provided","","","OD","GRU --- General research use","2022-12-02","",""
"phs003082.v1.p1","Rapid Acceleration of Diagnostics - Underserved Populations (RADx-UP):    Localized Mobile Health Approach to Boosting COVID-19 Testing and    Vaccine Literacy, Access, and Uptake Among Women with Criminal Legal    System Involvement","People with criminal legal system involvement (CLSI) have experienced five times as many COVID-19 infections and have three times the risk of death compared to general population in the U.S.  . This application is highly responsive to the RADx-UP Phase II call for research that tests interventions to reduce COVID-19 disparities among underserved","Not Applicable","COVID-19","Case Set","Not Provided","Not Provided","","","OD","GRU --- General research use","2022-12-02","",""
"phs002763.v1.p1","Rapid Acceleration of Diagnostics - Underserved Populations (RADx-UP):    Investigating the Effectiveness of COVID-19 Testing Choices, Community    Engagement, and Culturally-Embedded mHealth Literacy Delivery in a    Medically-Underserved, Community-Based Sample","This project will employ sentinel and community-based epidemiological surveillance and participatory research methods to evaluate whether a person-centered, rapid COVID-19 testing intervention (at-home swab and send, or on-site point of   AboutML-informed consent approaches and with the other RADx-UP studies and relevant federal agencies. The central hypothesis of this study argues that a","Not Applicable","COVID-19","Collection","Not Provided","Not Provided","","","OD","GRU --- General research use","2022-12-02","",""
"phs003051.v1.p1","Rapid Acceleration of Diagnostics - Underserved Populations (RADx-UP):    Using the Multiphase Optimization Strategy (MOST) to Optimize an    Intervention to Increase COVID-19 Testing for Black and    Latino/Hispanic Frontline Essential Workers","Among those at highest risk for exposure to COVID-19 is the large population of frontline essential workers (FEW) in lower status occupations (e.g., retail, in-home health care), among whom Black   in RADx: Instructions for requesting individual-level data are available on RADx Data Hub at https://radx-hub.nih.gov/home. Apply for data access in","Not Applicable","COVID-19","Interventional","Not Provided","Not Provided","","","OD","GRU --- General research use","2022-12-02","",""
"phs003049.v1.p1","Rapid Acceleration of Diagnostics - Underserved Populations (RADx-UP):    Identifying COVID-19 Vaccine Deserts Using Machine Learning and    Geospatial Analyses to Target Community-Engaged Testing for Vulnerable    Rural Populations to Prevent Localized Outbreaks","As of June 30, 2021, 23% of West Virginia's (WV) 55 counties were ranked within the top 20% of counties most vulnerable to Covid-19 in the United States. Central to   to persistent localized outbreaks of the virus and subsequently higher morbidity and mortality. Our RADx-UP Phase Two proposal builds upon a previously","Not Applicable","COVID-19","Case Set","Not Provided","Not Provided","","","OD","GRU --- General research use","2022-12-02","",""
"phs002920.v1.p1","Rapid Acceleration of Diagnostics - Underserved Populations (RADx-UP): A    Community Health Worker Intervention to Identify and Decrease Barriers    to Pre-Procedural COVID-19 Testing Among Los Angeles County Department    of Health Safety-Net Patients","African American and Latinx communities nationally and in California not only bear a disproportionate burden of COVID-19 positive cases and deaths but are also not taking part in COVID-19 testing   intervention on trust, self-efficacy, and intent to participate in COVID-19 testing/re-testing and vaccinations. Note for data in RADx: Instructions for","Not Applicable","COVID-19","Case Set","Not Provided","Not Provided","","","OD","GRU --- General research use","2022-12-02","",""
"phs002616.v1.p1","Rapid Acceleration of Diagnostics - Underserved Populations (RADx-UP):    Bridging the Evidence-to-Practice Gap: Evaluating Practice    Facilitation as a Strategy to Accelerate Translation of a    Systems-Level Adherence Intervention into Safety Net Practices/Project    Evidence","The COVID-19 pandemic is a major public health crisis, revealing deep and persistent racial/ethnic disparities in health. In New York City (NYC), one of the most affected cities in the   community- and structural-level determinants of testing using validated self-report measures (RADX-UP Common Data Elements, NIH PhenX Toolkit) among the same","Not Applicable","COVID-19","Cross-Sectional","Not Provided","Not Provided","","","OD","GRU --- General research use","2022-12-02","",""
"phs002648.v1.p1","Rapid Acceleration of Diagnostics - Underserved Populations (RADx-UP):    Keeping Rural Minority 'Essential' Workplaces Open Safely During the    COVID-19 Pandemic: The Role of Frequent Point-of-Care Molecular    Workplace Surveillance for Miners (The Miners' Pandemic Project)","There are limited studies on the spread of SARS-CoV-2 infection in rural essential workers. This gap in knowledge must be addressed to develop and implement novel pandemic strategies to keep   rural essential workplaces open. By working with the NIH RADx-UP Coordinating and Data Collection Center, this study will provide crucial data for","Not Applicable","COVID-19","Collection","Not Provided","Not Provided","","","OD","GRU --- General research use","2022-12-02","",""
"phs003037.v1.p1","Rapid Acceleration of Diagnostics - Underserved Populations (RADx-UP):    Maximizing Child Health and Learning Potential: Promoting A School    Culture of Safety in the Era of COVID-19: Feasibility of Strategic    COVID-19 Testing Protocols in At-Risk Urban Schools","We will explore the feasibility of strategic COVID-19 testing protocols in at-risk urban school settings with the goal of increasing a sense of safety for parents and staff, and elucidating   or outside of school). Note for data in RADx: Instructions for requesting individual-level data are available on RADx Data Hub at https://radx","Not Applicable","COVID-19","Case Set","Not Provided","Not Provided","","","OD","GRU --- General research use","2022-12-02","",""
"phs002522.v1.p1","Rapid Acceleration of Diagnostics - Radical (RADx-rad): MOF-SCENT:    Metal-Organic Frameworks for Screening COVID-19 by Electronic-Nose    Technology to Improve Selectivity and Time Response","This proposal describes the design, fabrication, and proof-of-concept testing of a novel MOF-SCENT system (Metal-Organic Frameworks for Screening COVID-19 by Electronic-Nose Technology) that features the following advantages: (1) Highly selective   and reduce costs (Keysight Technologies can head up the effort to mass-produce the interrogators). Capital costs for the production ramp-up of large","Not Applicable","COVID-19","Methods","Not Provided","Not Provided","","","OD","GRU --- General research use","2022-12-02","",""
"phs002609.v1.p1","Rapid Acceleration of Diagnostics - Radical (RADx-rad): Identifying    Biomarker Signatures of Prognostic Value for Multisystem Inflammatory    Syndrome in Children (MIS-C)","The purpose of this study is to develop a tool that can diagnose multisystem inflammatory syndrome in children (MIS-C.) Some children and young adults who have had Covid-19 develop this  , we are using an existing invention, a Grating-Coupled Fluorescence Plasmonic (GCFP) chip. It's a small gold chip that can analyze up to 400 biomarkers","Not Applicable","COVID-19","Case-Control","Not Provided","Not Provided","","","OD","GRU --- General research use","2022-12-02","",""
"phs002782.v1.p1","Rapid Acceleration of Diagnostics - Radical (RADx-rad): NIEHS    Diagnostic-Prognostic RNAseq","Infectious disease outbreaks like Coronavirus Disease 2019 (COVID-19) can overwhelm healthcare systems when screening tools are scarce or lacking. In the face of an ongoing COVID-19 pandemic and with single-plex  , long queue times, backlogs in COVID-19 diagnoses, and delayed access to specialized treatment for COVID-19 patients. The goal of this RADx funded project","Not Applicable","COVID-19","Case Set","Not Provided","Not Provided","","","OD","GRU --- General research use","2022-12-02","",""
"phs002561.v1.p1","Rapid Acceleration of Diagnostics - Radical (RADx-rad): A Rapid,    Sensitive, Point-of-Care, Antigen-Based Diagnostics for SARS-CoV-2","A rapid, sensitive, low-cost diagnostic device for early detection of novel Coronavirus Disease (COVID-19) could significantly change the paradigm in real-time and efficient management of patients and available healthcare resources,  /bulky equipment for sample processing. Recent studies have shown large, up to 10,000-fold variations, in the limit of detection (LoD) of some of the","Not Applicable","COVID-19","Case Set","Not Provided","Not Provided","","","OD","GRU --- General research use","2022-12-02","",""
"phs002550.v1.p1","Rapid Acceleration of Diagnostics - Radical (RADx-rad): Direct    Bioelectronic Detection of SARS-CoV-2 From Saliva Using Singlemolecule    Field-effect Transistor Array","Nucleic acid test-standard for diagnostics testing for COVID-19, usually performed in specialized laboratories. Most are based on reverse-transcription quantitative polymerase chain reaction (qRT-PCR). The time required for specimen transport and   complex samples up to and including clinical samples (Specific Aim 4). This project is a partnership between university researchers who developed the smFET","Not Applicable","COVID-19","Collection","Not Provided","Not Provided","","","OD","GRU --- General research use","2022-12-02","",""
"phs002551.v1.p1","Rapid Acceleration of Diagnostics - Radical (RADx-rad): Marshallese:    Alternate Surveillance for COVID-19 in a Unique Population","Marshallese Pacific Islanders bear a disproportionate burden of COVID-19 infection, hospitalization, and death, with rates 4 to 25 times higher than those of other US racial and ethnic groups in  . The MASC-UP study will generate novel data that reflect variation in risk of COVID-19 infection based on one's place in the highly clustered Marshallese","Not Applicable","COVID-19","Collection","Not Provided","Not Provided","","","OD","GRU --- General research use","2022-12-02","",""
"phs002527.v1.p1","Rapid Acceleration of Diagnostics - Radical (RADx-rad): Bioinformatics    Framework for Wastewater-based Surveillance of Infectious Diseases","COVID-19 is expected to become one of the largest mass casualty events in the history of the United States (U.S.). Assessment of the true burden of disease in the population   can screen up to 70% of the U.S. population on a weekly basis at 0.01% of the cost of clinical screening of individuals. As a population-wide infectious","Not Applicable","COVID-19","Collection","Not Provided","Not Provided","","","OD","GRU --- General research use","2022-12-02","",""
"phs002744.v1.p1","Rapid Acceleration of Diagnostics - Radical (RADx-rad): Rolosense: An    Innovative Platform for Automatic Mobile Phone Readout of Active    SARS-CoV-2","The ultimate goal of this proposal is to develop a novel platform technology for automatic surveillance and tracing of airborne SARS-CoV-2 virus particles in real time. The centerpiece of this  ) stall in presence of SARS-CoV-2 virus particles. Because motors move autonomously for distances up to millimeters without intervention, the assay is fully","Not Applicable","COVID-19","Methods","Not Provided","Not Provided","","","OD","GRU --- General research use","2022-12-02","",""
"phs002747.v1.p1","Rapid Acceleration of Diagnostics - Radical (RADx-rad): COVID-19    Detection through Scent Analysis with a Compact Gas Chromatography    Device","Recent studies, including ours, have suggested that a person's breath may used to diagnose COVID-19 infection and even to monitor its progress. In contrast to immunological and genetic based methods   analyses on up to 760 patients, and to identify and validate COVID-19 biomarkers in breath. Thus, in coordination with the RADx-rad Data Coordination Center","Not Applicable","COVID-19","Methods","Not Provided","Not Provided","","","OD","GRU --- General research use","2022-12-02","",""
